2022-10-25 09:17:38.401307; 2; +; 2; 4.0; 
2022-10-25 09:17:49.652811; 16.32; /; 4.1; 3.980487804878049; 
2022-10-25 09:18:05.415076; 12; *; 4.5; 54.0; 
2022-10-25 12:12:39.253664; 12; *; 4.5; 54.0; 
